Date,total,people,integrations
20160101 (Friday),,,
20160102 (Saturday),,,
20160103 (Sunday),,,
20160104 (Monday),,,
20160105 (Tuesday),,,
20160106 (Wednesday),,,
20160107 (Thursday),32,32,0
20160108 (Friday),17,17,0
20160109 (Saturday),0,0,0
20160110 (Sunday),20,20,0
20160111 (Monday),90,89,1
20160112 (Tuesday),83,44,39
20160113 (Wednesday),141,128,13
20160114 (Thursday),24,23,1
20160115 (Friday),28,25,3
20160116 (Saturday),20,13,7
20160117 (Sunday),9,7,2
20160118 (Monday),25,12,13
20160119 (Tuesday),41,16,25
20160120 (Wednesday),83,68,15
20160121 (Thursday),21,11,10
20160122 (Friday),54,41,13
20160123 (Saturday),0,0,0
20160124 (Sunday),0,0,0
20160125 (Monday),126,91,35
20160126 (Tuesday),130,91,39
20160127 (Wednesday),191,164,27
20160128 (Thursday),86,67,19
20160129 (Friday),72,35,37
20160130 (Saturday),0,0,0
20160131 (Sunday),23,20,3
20160201 (Monday),75,42,33
20160202 (Tuesday),109,78,31
20160203 (Wednesday),163,119,44
20160204 (Thursday),143,94,49
20160205 (Friday),57,28,29
20160206 (Saturday),4,2,2
20160207 (Sunday),3,2,1
20160208 (Monday),172,109,63
20160209 (Tuesday),94,52,42
20160210 (Wednesday),131,84,47
20160211 (Thursday),123,107,16
20160212 (Friday),42,12,30
20160213 (Saturday),4,2,2
20160214 (Sunday),23,15,8
20160215 (Monday),46,35,11
20160216 (Tuesday),336,308,28
20160217 (Wednesday),101,70,31
20160218 (Thursday),88,72,16
20160219 (Friday),107,100,7
20160220 (Saturday),206,162,44
20160221 (Sunday),135,123,12
20160222 (Monday),355,315,40
20160223 (Tuesday),106,78,28
20160224 (Wednesday),180,143,37
20160225 (Thursday),129,100,29
20160226 (Friday),100,91,9
20160227 (Saturday),321,292,29
20160228 (Sunday),160,132,28
20160229 (Monday),237,210,27
20160301 (Tuesday),449,387,62
20160302 (Wednesday),85,70,15
20160303 (Thursday),109,90,19
20160304 (Friday),44,37,7
20160305 (Saturday),16,11,5
20160306 (Sunday),12,7,5
20160307 (Monday),280,250,30
20160308 (Tuesday),88,50,38
20160309 (Wednesday),107,85,22
20160310 (Thursday),204,175,29
20160311 (Friday),97,84,13
20160312 (Saturday),31,18,13
20160313 (Sunday),33,32,1
20160314 (Monday),76,55,21
20160315 (Tuesday),20,12,8
20160316 (Wednesday),103,88,15
20160317 (Thursday),261,248,13
20160318 (Friday),77,70,7
20160319 (Saturday),20,10,10
20160320 (Sunday),17,12,5
20160321 (Monday),95,75,20
20160322 (Tuesday),119,95,24
20160323 (Wednesday),160,138,22
20160324 (Thursday),166,128,38
20160325 (Friday),63,56,7
20160326 (Saturday),11,5,6
20160327 (Sunday),55,38,17
20160328 (Monday),111,60,51
20160329 (Tuesday),73,48,25
20160330 (Wednesday),72,60,12
20160331 (Thursday),111,80,31
20160401 (Friday),139,111,28
20160402 (Saturday),27,22,5
20160403 (Sunday),22,12,10
20160404 (Monday),205,166,39
20160405 (Tuesday),118,91,27
20160406 (Wednesday),103,31,72
20160407 (Thursday),110,81,29
20160408 (Friday),69,59,10
20160409 (Saturday),11,5,6
20160410 (Sunday),12,0,12
20160411 (Monday),130,111,19
20160412 (Tuesday),71,50,21
20160413 (Wednesday),171,144,27
20160414 (Thursday),138,118,20
20160415 (Friday),61,51,10
20160416 (Saturday),17,10,7
20160417 (Sunday),12,3,9
20160418 (Monday),99,81,18
20160419 (Tuesday),84,64,20
20160420 (Wednesday),43,29,14
20160421 (Thursday),90,40,50
20160422 (Friday),42,34,8
20160423 (Saturday),14,8,6
20160424 (Sunday),4,0,4
20160425 (Monday),80,47,33
20160426 (Tuesday),82,71,11
20160427 (Wednesday),70,55,15
20160428 (Thursday),167,152,15
20160429 (Friday),77,67,10
20160430 (Saturday),15,12,3
20160501 (Sunday),43,35,8
20160502 (Monday),79,65,14
20160503 (Tuesday),93,64,29
20160504 (Wednesday),359,345,14
20160505 (Thursday),87,82,5
20160506 (Friday),14,7,7
20160507 (Saturday),3,1,2
20160508 (Sunday),1,0,1
20160509 (Monday),96,60,36
20160510 (Tuesday),95,80,15
20160511 (Wednesday),124,112,12
20160512 (Thursday),123,101,22
20160513 (Friday),43,38,5
20160514 (Saturday),4,3,1
20160515 (Sunday),14,11,3
20160516 (Monday),55,41,14
20160517 (Tuesday),27,19,8
20160518 (Wednesday),156,143,13
20160519 (Thursday),71,51,20
20160520 (Friday),164,152,12
20160521 (Saturday),0,0,0
20160522 (Sunday),13,8,5
20160523 (Monday),43,19,24
20160524 (Tuesday),29,21,8
20160525 (Wednesday),31,17,14
20160526 (Thursday),23,20,3
